LINEA
1
observatorio,tacubaya
tacubaya,juanacatlan
juanacatlan,chapultepec
chapultepec,sevilla
sevilla,insurgentes
insurgentes,cuauhtemoc
cuauhtemoc,balderas
balderas,saltodelagua
saltodelagua,isabellacatolica
isabellacatolica,pinosuarez
pinosuarez,merced
merced,candelaria
candelaria,sanlazaro
sanlazaro,moctezuma
moctezuma,balbuena
balbuena,boulevardpuertoaereo
boulevardpuertoaereo,gomezfarias
gomezfarias,zaragoza
zaragoza,pantitlan
LINEA
2
cuatrocaminos,panteones
panteones,tacuba
tacuba,cuitlahuac
cuitlahuac,popotla
popotla,colegiomilitar
colegiomilitar,normal
normal,sancosme
sancosme,revolucion
revolucion,hidalgo
hidalgo,bellasartes
bellasartes,alllende
allende,zocalo
zocalo,pinosuarez
pinosuarez,sanantonioabad
sanantonioabad,chabacano
chabacano,viaducto
viaducto,xola
xola,villadecortes
villadecortes,nativitas
nativias,portales
portales,ermita
ermita,generalanaya
generalanaya,tasqueña
LINEA
3
indiosverdes,deportivo18demarzo
deportivo18demarzo,potrero
potrero,laraza
laraza,tlatelolco
tlatelolco,guerrero
guerrero,hidalgo
hidalgo,juarez
juarez,balderas
balderas,ninosheroes
ninosheroes,hospitalgeneral
hospitalgeneral,centromedico
centromedico,etiopiaplazadelatransparencia
etiopiaplazadelatransparencia,eugenia
eugenia,divisiondelnorte
divisiondelnorte,zapata
zapata,coyoacan
coyoacan,viverosderechoshumanos
viverosderechoshumanos,miguelangeldequevedo
miguelangeldequevedo,copilco
copilco,universidad
